question,answer,category
What is your refund policy?,We offer a 30-day money-back guarantee on all products. Simply contact our support team to initiate a return.,policies
How long does shipping take?,Standard shipping takes 3-5 business days. Express shipping is available for 1-2 day delivery.,shipping
Do you ship internationally?,Yes! We ship to over 100 countries worldwide. International shipping typically takes 7-14 business days.,shipping
What payment methods do you accept?,"We accept all major credit cards (Visa, MasterCard, Amex), PayPal, and bank transfers.",payments
How can I track my order?,Once your order ships you'll receive a tracking number via email. You can also track orders in your account dashboard.,orders
Can I cancel my order?,Orders can be cancelled within 24 hours of placement. After that the order may already be in processing.,orders
What is your warranty policy?,All products come with a 1-year manufacturer warranty covering defects in materials and workmanship.,policies
How do I contact customer support?,"You can reach us via email at support@example.com, phone at 1-800-SUPPORT, or chat on our website.",support
Do you offer bulk discounts?,Yes! Orders of 10+ units qualify for volume discounts. Contact our sales team for a custom quote.,sales
What are your business hours?,Our support team is available Monday-Friday 9am-6pm EST. Email support is monitored 24/7.,support
